name,upperLength,clothesStyles,hairStyles,upperBlack,upperBrown,upperBlue,upperGreen,upperGray,upperOrange,upperPink,upperPurple,upperRed,upperWhite,upperYellow
img_qh_train1A_00000000076.jpg,ShortSleeve,Solidcolor,Short,,,,,,,,,,1,
img_qh_train1A_00001004361.jpg,LongSleeve,Solidcolor,Short,1,,,,,,,,,,
img_qh_train1A_00002008174.jpg,LongSleeve,Solidcolor,Long,,,,,1,,,,,,
img_qh_train1A_00003006632.jpg,LongSleeve,multicolour,Long,0.7,,,,,,,,,0.3,
img_qh_train1A_00004001877.jpg,ShortSleeve,Solidcolor,Short,,,,,,,,,,1,
img_qh_train1A_00005004956.jpg,LongSleeve,Solidcolor,Short,1,,,,,,,,,,
img_qh_train1A_00006001554.jpg,LongSleeve,lattice,Long,0.5,,,,,,,,,0.5,
img_qh_train1A_00007006813.jpg,LongSleeve,Solidcolor,Long,,,,,,,,,,1,
img_qh_train1A_00008005956.jpg,LongSleeve,Solidcolor,middle,,,,,1,,,,,,
img_qh_train1A_00009003190.jpg,LongSleeve,multicolour,Short,0.8,,,,0.2,,,,,,
img_qh_train1A_00010008747.jpg,LongSleeve,Solidcolor,Long,,,,,,,,,,1,
img_qh_train1A_00011007359.jpg,LongSleeve,multicolour,Short,,,0.1,,0.6,,,0.3,,,
img_qh_train1A_00012003448.jpg,LongSleeve,multicolour,Short,0.1,,,,,,0.8,,,0.1,
img_qh_train1A_00013002852.jpg,LongSleeve,multicolour,Short,,0.4,,,0.6,,,,,,
img_qh_train1A_00014000763.jpg,LongSleeve,Solidcolor,middle,1,,,,,,,,,,
img_qh_train1A_00015001934.jpg,LongSleeve,Solidcolor,Short,,,,1,,,,,,,
img_qh_train1A_00016009659.jpg,LongSleeve,Solidcolor,Short,,,1,,,,,,,,
img_qh_train1A_00017003176.jpg,LongSleeve,multicolour,Long,,,0.5,0.5,,,,,,,
img_qh_train1A_00018000974.jpg,LongSleeve,Solidcolor,middle,,,,,1,,,,,,
img_qh_train1A_00019003252.jpg,LongSleeve,Solidcolor,middle,,,,,1,,,,,,
img_qh_train1A_00020005751.jpg,LongSleeve,Solidcolor,Short,,,,,,,,,,,1
img_qh_train1A_00021004422.jpg,LongSleeve,Solidcolor,Short,,,,,,,,,,1,
img_qh_train1A_00022009188.jpg,LongSleeve,Solidcolor,middle,,,1,,,,,,,,
img_qh_train1A_00023002904.jpg,LongSleeve,Solidcolor,Short,1,,,,,,,,,,
img_qh_train1A_00024003534.jpg,LongSleeve,Solidcolor,Long,,,,,,,,1,,,
img_qh_train1A_00025008610.jpg,LongSleeve,multicolour,Short,,,0.5,,,,,,,0.5,
img_qh_train1A_00026008601.jpg,ShortSleeve,Solidcolor,Short,,,,,,,,,,1,
img_qh_train1A_00027001326.jpg,ShortSleeve,Solidcolor,Long,,,,,1,,,,,,
img_qh_train1A_00028007856.jpg,ShortSleeve,Solidcolor,middle,,,,,,,,,,1,
